Player, PR, Luck, Score, Player, PR, Luck, Score
Moriarty,0,0,0,Idan1986,0,0,0
bardak65,0,0,0,Nissimb,0,0,0
Tezka11,0,0,0,UziMutsafy,0,0,0
GuyEliyahu,3.86,-1.57,6,Avshalom,7.29,-2.49,7
MarcelDana,9.91,-0.66,2,YossiEliezer23,3.68,2.26,7
ys,0,0,0,GS18671,0,0,0
Yannay,10.33,-1.73,4,sagivquina,10.7,0.31,7
Ran1976,0,0,0,Yaniv162,0,0,0
OvedBenZeev,0,0,0,Avi,0,0,0
Danny_kondrea,0,0,0,fridlich,0,0,0
Hummus,5.24,-1.56,3,rina,12.22,1.23,7
ilanblum,11.44,-0.16,5,Izhako,16.68,3.16,7
Motitaly,0,0,7,Bye,0,0,0
Player, PR, Luck, Score, Player, PR, Luck, Score
Moriarty,7.94,0.5,5,bardak65,11.62,2.45,7
Tezka11,0,0,0,Idan1986,0,0,0
GuyEliyahu,0,0,0,Nissimb,0,0,0
MarcelDana,0,0,0,UziMutsafy,0,0,0
ys,0,0,0,Avshalom,0,0,0
Yannay,8.93,-0.17,7,YossiEliezer23,4.79,-2.08,6
Ran1976,0,0,0,GS18671,0,0,0
OvedBenZeev,0,0,0,sagivquina,0,0,0
Danny_kondrea,0,0,0,Yaniv162,0,0,0
Hummus,0,0,0,Avi,0,0,0
ilanblum,0,0,0,fridlich,0,0,0
Motitaly,0,0,0,rina,0,0,0
Bye,0,0,7,Izhako,0,0,0
Player, PR, Luck, Score, Player, PR, Luck, Score
Moriarty,0,0,0,Tezka11,0,0,0
GuyEliyahu,0,0,0,bardak65,0,0,0
MarcelDana,0,0,0,Idan1986,0,0,0
ys,0,0,0,Nissimb,0,0,0
Yannay,0,0,0,UziMutsafy,0,0,0
Ran1976,0,0,0,Avshalom,0,0,0
OvedBenZeev,12.96,2.46,7,YossiEliezer23,4,-1.2,5
Danny_kondrea,0,0,0,GS18671,0,0,0
Hummus,0,0,0,sagivquina,0,0,0
ilanblum,8,0.1,7,Yaniv162,15.83,-2.06,4
Motitaly,0,0,0,Avi,0,0,0
Bye,0,0,7,fridlich,0,0,0
Izhako,0,0,0,rina,0,0,0
Player, PR, Luck, Score, Player, PR, Luck, Score
